1,1142,4,15,18
1,1143,1,15,18
1,1145,2,18,18
1,1146,1,3,18
1,1147,1,3,18
1,1148,1,3,18
1,1149,1,1,18
1,1150,2,5,18
1,1152,1,18,18
1,1153,1,1,18
1,1154,15,15,18
1,1160,1,1,18
1,1161,1,4,15
1,1162,1,14,14
1,1163,1,1,18
1,1164,1,1,15
1,1165,1,15,15
1,1169,1,3,18
1,1170,1,2,18
1,1174,1,15,15
1,1175,1,15,18
1,1176,1,18,18
1,1177,1,18,18
1,1178,1,18,18
1,1179,1,15,18
1,1182,9,9,18
1,1190,1,18,18
1,1194,2,15,18
1,1196,1,18,18
1,1197,1,15,18
1,1207,1,3,18
1,1211,16,16,18
1,1212,15,18,18
1,1215,1,1,18
1,1216,1,18,18
2,1000,18,18,18
2,1001,1,15,18
2,1012,1,1,3
2,1014,11,5,15
6,1000,1,18,18
6,1001,1,1,4
6,1002,1,15,18
6,1005,2,2,18
6,1006,1,2,18
6,1007,1,15,18
6,1008,1,18,18
6,1009,1,18,18
6,1010,15,18,18
6,1011,2,18,18
6,1012,1,18,18
6,1013,1,13,18
6,1014,1,15,18
6,1015,1,15,18
6,1016,1,18,3
6,1017,1,2,3
6,1018,18,18,3
6,1019,2,2,18
6,1020,1,15,18
6,1021,1,4,18
6,1022,2,2,18
6,1023,1,1,18
6,1024,1,1,18
6,1025,1,2,3
6,1026,1,2,3
6,1027,1,15,3
6,1028,1,15,3
6,1029,15,18,18
6,1030,15,15,3
6,1031,15,15,3
6,1032,15,18,3
6,1033,6,15,3
6,1034,1,6,3
6,1035,1,1,3
6,1036,1,15,3
6,1037,4,15,18
6,1038,4,15,18
6,1039,1,3,18
6,1040,1,3,18
6,1041,1,3,18
6,1042,1,1,18
6,1043,2,5,18
6,1044,1,2,3
6,1046,18,18,18
6,1048,1,18,18
6,1049,1,18,18
6,1050,15,18,18
6,1051,15,18,18
6,1052,15,18,18
6,1053,15,18,18
6,1054,15,18,18
6,1055,15,18,18
6,1056,15,18,18
6,1057,2,18,18
6,1058,2,18,18
6,1059,15,18,18
6,1060,15,18,18
6,1061,15,18,18
6,1062,15,18,18
6,1064,1,15,3
6,1066,1,18,3
6,1067,1,18,3
6,1069,1,1,3
6,1070,1,18,18
6,1071,1,1,3
6,1072,1,1,3
6,1073,1,2,3
6,1074,2,18,18
6,1075,1,2,18
6,1076,2,18,18
6,1077,1,15,18
6,1078,1,18,18
6,1079,1,18,18
6,1097,1,18,3
6,1098,1,18,18
6,1099,1,1,3
6,1100,1,13,3
6,1101,1,13,3
6,1102,1,13,3
6,1103,1,15,3
6,1104,1,15,3
6,1105,1,15,3
6,1106,1,15,3
6,1107,15,15,18
6,1108,1,2,3
6,1110,18,18,18
7,1000,15,17,18
7,1002,15,17,18
7,1010,12,13,17
7,1016,12,15,18
7,1021,12,17,18
7,1022,12,15,3
7,1023,12,13,3
7,1024,12,15,18
7,1026,17,17,3
7,1030,1,13,3
7,1031,1,1,18
7,1032,2,18,18
8,1000,12,17,18
8,1002,9,15,18
8,1003,1,2,18
8,1004,15,17,18
8,1005,8,12,17
8,1006,8,12,17
8,1007,8,12,17
8,1008,8,15,18
8,1009,1,7,18
8,1010,5,8,18
8,1011,1,10,18
8,1012,1,3,18
8,1013,1,3,18
8,1014,18,18,3
8,1015,15,18,18
8,1016,1,15,18
8,1017,15,18,18
8,1018,15,18,18
8,1019,15,18,18
8,1020,15,18,18
8,1021,15,18,18
8,1022,1,18,18
8,1023,1,1,3
8,1024,1,1,3
8,1025,1,2,3
8,1026,1,2,3
8,1027,1,1,3
8,1028,1,1,3
8,1029,1,1,3
8,1030,1,1,3
8,1031,1,1,3
8,1038,1,2,18
8,1039,1,1,18
9,1000,1,15,18
9,1002,2,18,18
9,1003,1,18,18
9,1004,1,1,18
9,1005,15,15,18
9,1006,1,2,18
9,1008,2,18,18
9,1009,1,18,18
9,1010,1,2,18
9,1011,1,18,18
9,1012,15,18,18
9,1014,15,18,18
9,1015,1,18,18
9,1016,2,18,18
9,1018,1,18,18
9,1020,1,2,18
9,1021,1,18,18
9,1023,1,15,3
9,1024,1,3,18
9,1028,1,18,18
9,1042,1,18,18
9,1043,15,18,18
9,1044,15,18,18
9,1045,15,18,18
9,1046,15,18,18
9,1047,15,18,18
9,1048,15,18,18
9,1049,2,18,18
9,1050,2,18,18
9,1051,15,18,18
9,1052,1,18,3
9,1053,1,18,3
9,1055,1,1,3
9,1056,1,18,18
9,1057,1,1,3
9,1059,1,1,3
9,1060,1,2,3
9,1061,2,18,18
9,1062,1,2,18
9,1063,1,2,3
9,1066,1,2,3
13,1000,1,18,18
13,1001,4,5,11
13,1002,2,4,14
13,1003,2,14,15
13,1004,5,15,18
13,1005,4,5,8
13,1006,5,11,15
13,1007,1,4,18
13,1008,1,4,5
13,1009,1,4,18
13,1010,1,15,18
13,1011,1,7,18
13,1012,2,9,18
13,1013,15,15,18
13,1014,1,15,18
13,1015,5,11,18
13,1016,4,15,18
13,1017,15,15,18
13,1018,1,1,18
13,1019,18,18,18
13,1020,7,15,18
13,1021,1,15,16
13,1022,1,1,7
13,1023,1,3,3
13,1027,18,18,3
13,1028,1,3,3
13,1029,1,15,3
13,1030,4,5,3
13,1031,5,5,3
13,1032,2,10,3
13,1034,1,5,11
13,1035,1,4,3
13,1036,1,4,3
